model,BIC,harmonic mean,bridge sampling,thermodynamic integration
165,269559.32066112146,-399403.3277230837,-399152.6869586405,-399658.1958635656
166,283045.5888391586,-396695.0702443929,-396576.10852152575,-401551.2772247107
167,284243.2434188445,-409985.63663860527,-409747.61941002647,-411893.5801392816
168,280594.0051544313,-402589.0970851426,-402465.317470504,-391170.30946673406
169,267895.74411479494,-405950.13036492985,-405798.0026747783,-410088.1702707245
170,287869.5292049067,-400479.1818161149,-400313.8067835906,-401139.80531769
171,276144.62917301984,-406355.5556188226,-406235.3665370136,-406941.8071665086
172,263440.70585713995,-399647.9902270218,-399524.9821413151,-406018.7769079537
173,269559.078350965,-403527.9229831429,-403408.7620574781,-403892.34337964177
174,267825.53440834687,-405853.2474412097,-405689.2511417039,-406244.00781617686
175,280723.18642899813,-402839.3558921093,-402638.5955126338,-403205.9521303551
176,264569.32429014094,-403476.3633009866,-403354.31267613976,-405274.8942031831
177,269498.0545510891,-403537.18019548914,-403406.8815187185,-402756.97631232376
178,276342.41898314835,-391895.6968922961,-391743.699056862,-392410.8826996904
179,288966.370183938,-405252.7945715592,-405133.263705896,-407369.98288009065
180,277552.4984895632,-404293.4277423279,-404169.2267068698,-392818.6388057107
181,270837.1421675475,-398659.401264258,-398535.9725425465,-377706.9544982939
182,277251.27106625045,-408027.68667541706,-407866.4693691908,-414495.0813416587
183,276186.8597164957,-399489.3553739712,-399236.0054492926,-391477.6646619275
184,280096.32372378034,-403237.91808373947,-403002.9028888701,-404070.40403963753
185,269909.63222231297,-403467.5249380199,-403185.2684872956,-404538.9260385801
186,279477.16664440144,-409046.5350510178,-408840.3744033667,-410077.9664723442
187,280608.92701102165,-402607.4640144119,-402405.627223665,-391138.93597673264
188,276211.3125036447,-399489.5369780721,-399242.2682224259,-402771.9355011853
189,284775.775855553,-402889.65807039815,-402690.6909786758,-408638.4665041105
190,271863.63529907126,-406214.1203329674,-406086.2147015154,-411670.9280145232
191,282261.333399818,-401711.2886366599,-401506.2074874804,-414632.7978177152
192,273346.6628062499,-407392.03853941016,-407237.5610368728,-409447.1957288956
193,287945.2380167019,-403748.236245808,-403626.15732954186,-429735.7096900572
194,275924.2174974244,-404924.18934003945,-404801.7197898547,-389014.0599455883
195,271803.95534933294,-406657.0630694705,-406532.1162586405,-407272.28758579545
196,277641.54201784666,-405684.7286553226,-405478.4433044779,-405682.6594949687
197,283466.1990644279,-404926.0071697561,-404794.38330938574,-405464.14052303234
198,267801.89899276645,-405653.4011646954,-405528.2438424966,-369894.3856847043
199,278894.8188028933,-402767.9486518492,-402606.6442518336,-403521.622156922
200,275011.306423844,-408914.728318448,-408744.144493242,-409193.9985929904
201,274395.9855963819,-406889.7330780544,-406675.9546073789,-410005.8198094592
202,284529.63603786303,-410300.3637164937,-410092.3402750497,-411973.1171836252
203,289041.6097877929,-405483.8267372127,-405330.9846258257,-405808.6669864198
204,276021.8724424403,-404426.55025917833,-404269.8024417466,-408507.843531507
205,277597.0940386472,-404327.96774108446,-404167.8659275079,-404575.7795079919
206,272412.2182700084,-409742.91699903226,-409587.3992648301,-410817.3409095943
207,282118.6549745941,-412552.22499724815,-412431.3879465865,-413674.8361780387
208,292616.6453216001,-403990.7421615839,-403835.4608683442,-404667.21818145
209,283009.3941727856,-396688.05393000547,-396569.30198045634,-397197.97440766013
210,278788.12215674674,-396354.4823056312,-396220.3528611712,-396789.00834427855
